float_id,latitude,longitude,time,depth,temperature,salinity
F001,12.0,72.0,2026-01-01,10,27.8,35.1
F001,12.0,72.0,2026-01-01,100,26.4,35.3
F001,12.0,72.0,2026-01-01,500,16.8,35.5
F001,12.0,72.0,2026-01-01,1000,7.2,35.0
F002,13.2,73.1,2026-01-03,10,28.1,35.0
F002,13.2,73.1,2026-01-03,100,26.8,35.2
F002,13.2,73.1,2026-01-03,500,17.1,35.6
F002,13.2,73.1,2026-01-03,1000,7.6,35.1
F003,11.5,71.2,2026-01-05,10,27.4,35.2
F003,11.5,71.2,2026-01-05,100,25.9,35.4
F003,11.5,71.2,2026-01-05,500,16.0,35.7
F003,11.5,71.2,2026-01-05,1000,6.8,34.9
